"All Websites","Minden honlap"
"Display Prices In Emails","Árak mutatása az e-mailekben"
"Display Prices In Product Lists","Árak mutatása a termék listázásnál"
"Display Prices In Sales Modules","Árak mutatása az értékesítési modulokban"
"Display Prices On Product View Page","Árak mutatása a termék nézet oldalon"
"Enable FPT","FPT engedélyezése"
"Excluding FPT","FPT nélkül"
"Excluding FPT, FPT description, final price","FPT-vel, FPT leírás, végső ár"
"Fixed Product Tax","Fix Termék Adó(FPT)"
"Fixed Product Taxes","Fix Termék Adók(FPT)"
"Include FPT In Subtotal","FPT hozzáadása a végösszeghez"
"Including FPT and FPT description [incl. FPT VAT]","FPT-vel és FPT leírás [és FPT VAT]"
"Including FPT only","csak FPT"
"Total","Összesen"
"Total Incl. Tax","Öszzesen ÁFA-val"
"Total incl. tax","Végösszeg adóval"
"Total:","Végösszeg:"
