"%s - Discounts and Coupons","%s - rabatter och kuponger"
"%s has reached a quantity of %s.","Lagersaldot för %s ligger på %s."
"%s's Wishlist","Önskelista för %s"
"Cannot retrieve the wishlist","Kan inte hämta önskelistan"
"Catalog","Katalog"
"Click for price","Klicka för pris"
"Comment: %s<br/>","Kommentar: %s<br/>"
"Coupons/Discounts","Kuponger/rabatter"
"Current Status: %s<br/>","Nuvarande status: %s<br/>"
"Customer Name: %s","Kundnamn: %s"
"Customer Order Status Notification","Meddelande om status för kundbeställning"
"Details for %s #%s","Detaljer för %s #%s"
"Discount","Rabatt"
"Discount (%s)","Rabatt (%s)"
"Enable RSS","Aktivera RSS"
"Error in processing xml. %s","Ett fel uppstod när XML-datan skulle behandlas. Felmeddelande: %s"
"From:","Från:"
"Get Feed","Ta Emot Feed"
"Gift Message","Presentmeddelande"
"Grand Total","Totalsumma"
"Low Stock Products","Produkter med lågt lagersaldo"
"Message:","Meddelande:"
"Miscellaneous Feeds","Diverse Flöden"
"New Orders","Nya beställningar"
"New Products","Nya produkter"
"New Products from %s","Nya produkter från %s"
"Notified Date: %s<br/>","Meddelades den: %s<br/>"
"Order","Beställning"
"Order # %s Notification(s)","Meddelande(n) för beställning #%s"
"Order #%s created at %s","Beställningen #%s skapades den %s"
"Pending product review(s)","Produktomdömen i väntan på granskning"
"Product: ""%s"" review By: %s","Recension för produkten ""%s"" av %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkter med etiketterna %s"
"Purchased From: %s","Köpt från: %s"
"RSS Feeds","RSS-flöde"
"RSS Feeds Section","RSS-Feeds avsnitt"
"Review: %s <br/>","Recension: %s <br/>"
"Rss Config","Rss-Config"
"Shipping &amp; Handling","Frakt & hantering"
"Special Products","Reaprodukter"
"Store: %s <br/>","Butik: %s <br/>"
"Subtotal","Delsumma"
"Summary of review: %s <br/>","Sammanfattning av recension: %s <br/>"
"Tags Products","Produkter med etiketter"
"Tax","Skatt"
"To:","Till:"
"Top Level Category","Överkategori"
"Total: %s<br/>","Totalt: %s<br/>"
"Wishlist","Önskelistan"
"click <a href=""%s"">here</a> to view the review","<a href=""%s"">Läs recensionen</a>"
