"Authorize Only","Тільки авторизувати"
"Authorize and Capture","Авторизувати та Захопити"
"Continue Shopping","Продовжити покупки"
"Debug","Відладка"
"Email Sender","Відправник електронного листа"
"Enable","Увімкнути"
"Merchant ID","Ідентифікатор Торговця"
"Merchant Login","Вхід в систему для Merchant"
"New Order Status","Статус нового замовлення"
"Payment Action","Дія Оплати"
"Sandbox","Пісочниця"
"Thank you for your purchase!","Дякуємо за покупку!"
"Title","Назва"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ви отримаєте email для підтвердження замовлення зі всією детальнішою інформацією та посиланням для відслідковування його шляху."
