"Add Recipient","Προσθήκη Παραλήπτη"
"Allow for Guests","Επιτρέπεται για επισκέπτες"
"Back","Πίσω"
"Email Address","Διεύθυνση Email"
"Email Address:","Διεύθυνση Email:"
"Email Templates","Πρότυπα Ηλεκτρονικού Ταχυδρομείου"
"Email to a Friend","Αποστολή σε έναν φίλο"
"Enabled","Ενεργό"
"Invalid Sender Information","Λάθος Πληροφορίες Αποστολέα"
"Limit Sending By","Όριο Αποστολής Από"
"Max Products Sent in 1 Hour","Μεγ. Προϊόντα Αποστέλλονται σε 1 Ώρα"
"Max Recipients","Μεγ. Παραλήπτες"
"Maximum %d email addresses allowed.","Επιτρέπονται στο μέγιστο %d διευθύνσεις email."
"Message:","Μήνυμα:"
"Name","Όνομα"
"Name:","Όνομα:"
"Recipient:","Παραλήπτης:"
"Remove Email","Αφαίρεση Email"
"Select Email Template","Επιλέξτε πρότυπο ηλεκτρονικού ταχυδρομείου"
"Send Email","Αποστολή Email"
"Send product to a friend","Αποστολή προϊόντος σε ένα φίλο"
"Sender:","Αποστολέας:"
"Some emails were not sent.","Ορισμένα emails δεν εστάλησαν."
"The link to a friend was sent.","Ο σύνδεσμος εστάλει σε ένα φίλο."
