"Add Option","Προσθήκη επιλογής"
"Attempt to add an invalid object","Προσπάθεια να προστεθεί άκυρο αντικείμενο"
"Attribute Code","Κωδικός χαρακτηριστικού"
"Attribute Label","Ετικέτα Χαρακτηριστικού"
"Attribute Properties","Ιδιότητες Χαρακτηριστικού"
"Attribute object is undefined","Αντικείμενο χαρακτηριστικό δεν έχει οριστεί"
"Attribute with the same code","Χαρακτηριστικό με τον ίδιο κωδικό"
"Catalog Input Type for Store Owner","Τύπος Εισόδου Καταλόγου για Ιδιοκτήτη Καταστήματος"
"Data integrity: No header row found for attribute","Ακεραιότητα Δεδομένων: Δε βρέθηκε γραμμή κεφαλίδας για το χαρακτηριστικό"
"Date","Ημερομηνία"
"Decimal Number","Δεκαδικός αριθμός"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Προεπιλεγμένη Ταξινόμηση κατά Λίστα Προϊόντων δεν υπάρχει στη Διαθέσιμη Ταξινόμηση κατά Λίστας Προϊόντων."
"Default Value","Προεπιλεγμένη τιμή"
"Default option value is not defined","Η προεπιλεγμένη τιμή επιλογής δεν έχει οριστεί"
"Delete","Διαγραφή"
"Dropdown","Αναπτυσσόμενο μενού"
"Entity is not initialized","Οντότητα δεν έχει προετοιμαστεί"
"Entity object is undefined","Αντικείμενο Οντότητας δεν έχει οριστεί"
"Form Element with the same attribute","Στοιχείο της φόρμας με το ίδιο χαρακτηριστικό"
"Form Fieldset with the same code","Σύνολο πεδίων φόρμας με τον ίδιο κωδικό"
"Form Type with the same code","Τύπος φόρμας με τον ίδιο κωδικό"
"Frontend label is not defined","Η ετικέτα του Frontend δεν έχει οριστεί."
"Input Validation for Store Owner","Επικύρωση Εισαγωγής για τον Ιδιοκτήτη Καταστήματος"
"Integer Number","Ακέραιος αριθμός"
"Invalid alias, already exists in joint attributes","Μη έγκυρο ψευδώνυμο, ήδη υπάρχει σε κοινά χαρακτηριστικά"
"Invalid attribute name: %s","Άκυρο όνομα χαρακτηριστικού: %s"
"Invalid attribute requested: %s","Αιτήθηκε μη έγκυρο χαρακτηριστικό: %s"
"Invalid attribute type","Άκυρος τύπος χαρακτηριστικού"
"Invalid character encountered in increment ID: %s","Βρέθηκε άκυρος χαρακτήρας στη προσαύξηση του ID: %s"
"Invalid date","Μη έγκυρη ημερομηνία"
"Invalid entity specified","Καθορίστηκε άκυρη οντότητα"
"Invalid entity supplied: %s","Περάστηκε άκυρη οντότητα: %s"
"Invalid entity type","Άκυρος τύπος οντότητας"
"Invalid entity_type specified: %s","Κατορίστηκε άκυρο entity_type: %s"
"Invalid foreign key","Μη έγκυρο ξένο κλειδί"
"Invalid joint fields","Μη έγκυρα κοινά πεδία"
"Invalid store specified","Προσδιορίστηκε άκυρο κατάστημα"
"Joined field with this alias is already declared","Έχει ήδη δηλωθεί ένα ενοποιημένο πεδίο με αυτό το ψευδώνυμο"
"Joint field or attribute expression with this alias is already declared","Κοινό πεδίο ή έκφραση χαρακτηριστικού με αυτό το ψευδώνυμο έχει ήδη δηλωθεί"
"Letters","Γράμματα"
"Letters (a-z, A-Z) or Numbers (0-9)","Γράμματα (α-ω, Α-Ω) ή αριθμούς (0-9)"
"Loaded %d records","Φορτώθηκαν %d εγγραφές"
"Multiple Select","Πολλαπλή Επιλογή"
"No","Όχι"
"None","Κανένα"
"Not shared with other products","Δεν μοιράζεται με άλλα προϊόντα"
"Problem loading the collection, aborting. Error: %s","Πρόβλημα στη φόρτωση της συλλογής, γίνεται ακύρωση. Σφάλμα: %s"
"Problem saving the collection, aborting. Error: %s","Πρόβλημα αποθήκευσης της συλλογής, εγκατάληψη. Σφάλμα: %s"
"Required","Απαιτείται"
"System","Σύστημα"
"Text Area","Περιοχή κειμένου"
"Text Field","Πεδίο κειμένου"
"URL","Διεύθυνση URL"
"Unique Value","Μοναδική τιμή"
"Unique Value (not shared with other products)","Μοναδική τιμή (όχι από κοινού με άλλα προϊόντα)"
"Unknown parameter","Άγνωστη παράμετρος"
"Values Required","Απαιτούμενες Τιμές"
"Wrong attribute group ID","Εσφαλμένο ID ομάδας χαρακτηριστικών"
"Wrong attribute set ID","Εσφαλμένο ID συνόλου χαρακτηριστικών"
"Wrong entity ID","Εσφαλμένο ID οντότητας"
"Yes","Ναί"
"Yes/No","Ναι/όχι"
