"-- Please select --","-- Моля изберете --"
"API Key","API ключ"
"Allowed Currencies","Разрешени валути"
"An invalid base currency has been entered.","Зададена е некоректна базова валута."
"Base Currency","Основна валута"
"Connection Timeout in Seconds","Изчакване на връзка в секунди"
"Continue &raquo;","Продължи &raquo;"
"Country","Държава"
"Country and Format Type combination should be unique","Страната и тип форматиране комбинация трябва да бъде уникален"
"Currency","Валута"
"Currency Options","Валутни опции"
"Currency Setup","Настройка на валута"
"Currency Update Warnings","Предупреждения за актуализиране на валута"
"Currency rates can't be retrieved.","Валутните курсове не могат да се извлекат."
"Default Display Currency","Покажи валутата по подразбиране"
"Directory","Директория"
"Enabled","Активиран"
"Error Email Recipient","Грешка в имейла на получателя"
"Error Email Sender","Грешка в имейл подателя"
"Error Email Template","Грешка в шаблона на имейла"
"FATAL ERROR:","ФАТАЛНА ГРЕШКА:"
"Frequency","Честота"
"Installed Currencies","Инсталирани валути"
"Invalid country code: %s","Невалиден код на държава: %s"
"Invalid rates received","Получени са невалидни ставки"
"List of countries","Списък държави"
"List of regions in specified country","Списък региони в избраната държава"
"No API Key was specified or an invalid API Key was specified.","Не е посочен Ключ за API или е зададен невалиден API Ключ."
"Region","Регион"
"Scheduled Import Settings","Планирано импортиране на настройки"
"Select Your Currency","Изберете вашата валута"
"Service","Услуга"
"Start Time","Начален час"
"State/Province","Област / Провинция"
"Strikeiron Email Update Warnings","Предупреждения по имейл за обновяване на Strikeiron"
"The account this API request is coming from is inactive.","Профилът, от който идва API заявката е неактивен."
"WARNING:","ВНИМАНИЕ!"
"Your current currency is: %s","Текуща валута: %s"
