"Add Option","Добави опция"
"Attempt to add an invalid object","Опит за добавяне на невалиден обект."
"Attribute Code","Код на атрибута"
"Attribute Label","Атрибут етикет"
"Attribute Properties","Свойствата на атрибута"
"Attribute object is undefined","Атрибут обекта не е дефиниран"
"Attribute with the same code","Атрибут със същия код"
"Catalog Input Type for Store Owner","Вход в каталог за собственик на магазин"
"Data integrity: No header row found for attribute","Целокупност на данните: Не е намерен заглавен ред за атрибута."
"Date","Дата"
"Decimal Number","Десетично число"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Продуктовото сортиране по подразбиране не съществува в наличните възможности за сортиране на продукти."
"Default Value","Стойност по подразбиране"
"Default option value is not defined","Не е дефинирана опция по подразбиране."
"Delete","Изтрий"
"Dropdown","Падащо меню"
"Email","Имейл"
"Entity is not initialized","Стойността не е инициализирана"
"Entity object is undefined","Стойността на обект е недефинирана"
"Form Element with the same attribute","Форма елемент със същия атрибут"
"Form Fieldset with the same code","Форма Fieldset със същия код"
"Form Type with the same code","Тип формуляр със същия код"
"Frontend label is not defined","Фронтенд заглавието не е дефинирано"
"Input Validation for Store Owner","Въведете валидация за администратора"
"Integer Number","Цяло число"
"Invalid alias, already exists in joint attributes","Невалиден псевдоним, вече съществува в съвместни атрибути"
"Invalid attribute name: %s","Грешно име на атрибут: %s"
"Invalid attribute requested: %s","Заявен е невалиден атрибут: %s"
"Invalid attribute type","Грешен тип на атрибут"
"Invalid character encountered in increment ID: %s","Намерен е невалиден символ в increment ID: %s"
"Invalid date","невалидна дата"
"Invalid entity specified","Посочена е невалидна единица"
"Invalid entity supplied: %s","Грешен обект: %s"
"Invalid entity type","Грешен тип на обект"
"Invalid entity_type specified: %s","Псосчен е невалиден entity_type: %s"
"Invalid foreign key","Грешен външен ключ"
"Invalid joint fields","Невалидни съединени полета"
"Invalid store specified","Използван е невалиден магазин"
"Joined field with this alias is already declared","Обединени полета с името на този атрибут вече са декларирани."
"Joint field or attribute expression with this alias is already declared","Съвместни поле или атрибут израз с този псевдоним вече е обявена"
"Letters","Букви"
"Letters (a-z, A-Z) or Numbers (0-9)","Букви (a-z, A-Z) или цифри (0-9)"
"Loaded %d records","Заредени %d записа"
"Multiple Select","Многоброен избор"
"No","Не"
"No options found in config node %s","Няма намерени опции в конфигурационен елемент %s"
"None","Не"
"Not shared with other products","Не се споделя с други продукти"
"Problem loading the collection, aborting. Error: %s","Проблем при зареждане на колекцията, прекратяване на операцията. Грешка: %s"
"Problem saving the collection, aborting. Error: %s","Проблем при записване на събирането. Грешка:%s"
"Required","Изискван"
"System","Системи"
"Text Area","Пространство за текст"
"Text Field","Текстово поле"
"Unique Value","Уникална стойност"
"Unique Value (not shared with other products)","Уникална стойност (не е споделена с други продукти)"
"Unknown parameter","Невалиден параметър."
"Values Required","Изисквани стойности"
"Wrong attribute group ID","Грешен атрибут group ID"
"Wrong attribute set ID","Грешен атрибут set ID"
"Wrong entity ID","Грешен обект ID"
"Yes","Да"
"Yes/No","Да/не"
