"Add New Address","إضافة عنوان جديد"
"Add to Compare","اضف للمقارنة"
"Add to Wishlist","اضف الى قائمة الامنيات"
"Address","العنوان"
"Address %s of %s","العنوان %s لـ %s"
"Allow Guest Checkout","السماح للزائر بإنهاء عملية الشراء"
"Already registered?","هل أنت مسجل؟"
"Apply","نفذ"
"Apply Coupon","استخدام كوبون"
"Are you sure you would like to remove this item from the shopping cart?","هل أنت متأكد من إزالة هذه السلعة من عربة التسوق؟"
"Back to Shipping Information","العودة إلى بيانات الشحن"
"Based on your selection, you may be interested in the following items:","طبقا لاختيارك، قد تكون مهتما بالسلع التالية:"
"Billing Information","بيانات الفاتورة"
"Billing Information - %s","بيانات الفاتورة - %s"
"Cancel Coupon","إلغاء الكوبون"
"Change Billing Address","تحرير"
"Checkout","إنهاء عملية الشراء"
"Checkout Options","خيارات إنهاء عملية الشراء"
"Checkout as Guest","إنهاء عملية الشراء كزائر"
"Checkout as a Guest or Register","إنهاء عملية الشراء كزائر أو التسجيل"
"Checkout with Multiple Addresses","إنهاء عملية الشراء بعناوين متعددة"
"City","المدينة"
"Company","الشركة"
"Confirm Password","تأكيد كلمة المرور"
"Continue","استمر"
"Continue Shopping","الاستمرار بالتسوق"
"Continue to Billing Information","الاستمرار إلى بيانات الفاتورة"
"Continue to Review Your Order","الاستمرار إلى مراجعة طلب الشراء"
"Continue to Shipping Information","الاستمرار إلى بيانات الشحن"
"Coupon code ""%s"" is not valid.","كود الكوبون ""%s"" غير صحيح."
"Create Billing Address","إنشاء عنوان دفع الفاتورة"
"Create Shipping Address","إنشاء عنوان الشحن"
"Customer Information","بيانات العميل"
"Data saving problem","خطأ في حفظ البيانات"
"Default Shipping","الشحن الافتراضي"
"Discount Codes","أكواد خصم"
"Display Cart Summary","عرض ملخص عربة التسوق"
"Display item quantities","عرض كميات السلع"
"Display number of items in cart","عرض عدد السلع في عربة التسوق"
"Easy access to your order history and status","الوصول السهل لحالة وتاريخ طلبك"
"Edit Address","تحرير العنوان"
"Edit Billing Address","تحرير عنوان دفع الفاتورة"
"Edit Items","تحرير السلع"
"Edit Shipping Address","تحرير عنوان الشحن"
"Edit Your Cart","تحرير عربة التسوق خاصتك"
"Email Address","البريد الإلكتروني"
"Enter a New Address","قم بإدخال عنوانا جديدا"
"Enter your coupon code if you have one.","إذا كنت تملك كوبونا فقم بإدخال الكود."
"Enter your destination to get a shipping estimate.","قم بإدخال وجهتك حتى تحصل على تقدير للشحن."
"Estimate Shipping and Tax","تقدير الشحن والضريبة"
"Fast and easy check out","إنهاء شراء سريع وسهل"
"Fax","فاكس"
"Forgot an Item?","هل نسيت سلعة؟"
"Get a Quote","احصل على اقتباس"
"Invalid shipping method.","طريقة شحن غير صحيحة."
"Load customer quote error","تحميل خطأ اقتباس العميل"
"Loading next step...","تحميل الخطوة التالية ..."
"Maximum qty allowed for Shipping to multiple addresses is %s","الكمية القصوى المسموح بها للشحن إلى عدة عناوين هي %s"
"Move to Wishlist","النقل إلى قائمة الأمنيات"
"My Cart (%s item)","عربة التسوق خاصتي (%s سلعة)"
"My Cart (%s items)","عربة التسوق خاصتي (%s سلع)"
"New Address","عنوان جديد"
"No Payment Methods","لا يوجد طرق للدفع"
"Order Review","مراجعة طلب الشراء"
"Order Success","نجاح طلب الشراء"
"Payment Information","بيانات الدفع"
"Payment Method","طريقة الدفع"
"Payment method is not defined","طريقة الدفع غير معرفة"
"Please log in below:","من فضلك قم بتسجيل الدخول بالأسفل:"
"Please select region, state or province","من فضلك قم باختيار المنطقة، الولاية أو المقاطعة"
"Please select shipping methods for all addresses","من فضلك قم باختيار طرق الشحن لكل العناوين"
"Proceed to Checkout","المواصلة لإنهاء الشراء"
"Recently added item(s)","السلعة/السلع المضافة حديثا"
"Register","التسجيل"
"Register and save time!","قم بالتسجيل ووفر الوقت!"
"Register to Create an Account","قم بالتسجيل لإنشاء حساب"
"Remove Item","إزالة سلعة"
"Review Order","مراجعة طلب الشراء"
"Review Order - %s","مراجعة طلب الشراء - %s"
"Select Address","اختيار عنوان"
"Select Addresses","اختيار عناوين"
"Select Shipping Method","اختيار طريقة الشحن"
"Select State/Province...","اختيار الولاية/المقاطعة..."
"Ship to Multiple Addresses","الشحن إلى عدة عناوين"
"Ship to different address","الشحن إلى عنوان مختلف"
"Ship to this address","الشحن إلى هذا العنوان"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Methods","طرق الشحن"
"Shipping method has not been selected yet","لم يتم اختيار طريقة الشحن حتى الآن"
"Shopping Cart","عربة التسوق"
"Shopping Cart is Empty","عربة التسوق فارغة"
"State/Province","ولاية/مقاطعة"
"Street Address","عنوان الشارع"
"Submitting order information...","تقديم بيانات طلب الشراء..."
"Telephone","هاتف"
"Thank you for your purchase!","شكرا لك على الشراء!"
"Update Qty &amp; Addresses","تحديث الكمية والعناوين"
"Update Shopping Cart","تحديث عربة التسوق"
"Update Total","تحديث الإجمالي"
"Use Billing Address","استخدام عنوان الدفع"
"You have no items in your shopping cart.","لا يوجد لديك أي سلع في عربة التسوق."
