"Add","එකතු කරන්න"
"Apply","අයදුම් කරන්න"
"Conditions Combination","කොන්දේසි සංයෝජනය"
"Open Chooser","තේරීම විවෘත කරන්න"
"Remove","ඉවත් කරන්න"
"equals or greater than","සමාන හෝ වැඩි"
"equals or less than","සමාන හෝ අඩු"
"for","සදහා"
"for greater than","වඩා වැඩි සඳහා"
"for or greater than","සඳහා හෝ ඊට වඩා වැඩි"
"found","සොයාගත්තා"
"from","සිට"
"greater than","වඩා වැඩි"
"is","වේ"
"is not","නොවේ"
"is not one of","එකක් නොවේ"
"is one of","එකකි"
"less than","අඩු"
"not found","හමු වුණේ නැහැ"
"not from","සිට නොවේ"
"to","වෙත"
