"-- Please select --","-- אנא בחר --"
"Allowed Currencies","מטבעות מותרים"
"Base Currency","מטבע הבסיס"
"Connection Timeout in Seconds","זמן קצוב לחיבור בשניות"
"Continue &raquo;","המשך &laquo;"
"Country","ארץ"
"Country and Format Type combination should be unique","שילוב של ארץ וסוג פורמט צריך להיות ייחודי"
"Currency","מטבע"
"Currency Options","אפשרויות מטבע"
"Currency Setup","הגדרת מטבע"
"Currency Update Warnings","אזהרות עדכון מטבע"
"Default Display Currency","תצוגת מטבע ברירת מחדל"
"Directory","ספרייה"
"Enabled","פעיל"
"Error Email Recipient","שגיאת נמען דואר אלקטרוני"
"Error Email Sender","שגיאת שולח דואר אלקטרוני"
"Error Email Template","שגיאת תבנית דואר אלקטרוני"
"FATAL ERROR:","שגיאה פאטלית:"
"Frequency","תדירות"
"Installed Currencies","מטבעות מותקנית"
"Invalid country code: %s","קוד מדינה שגוי: %s"
"Invalid rates received","תעריפים שגויים התקבלו"
"List of countries","רשימת ארצות"
"List of regions in specified country","רשימת איזורים במדינה ספיצפית"
"Region","אזור"
"Scheduled Import Settings","תזמון הגדרות הייבוא"
"Select Your Currency","בחר מטבע שלך"
"Service","שירות"
"Start Time","שעת התחלה"
"State/Province","מדינה/מחוז"
"Strikeiron Email Update Warnings"," אזהרות עדכון דוא""ל Strikeiron "
"WARNING:","אזהרה:"
"Your current currency is: %s","המטבע הנוכחי שלך: %s"
