"Actions","פעולות"
"Are you sure?","האם אתה בטוח?"
"Date Added","תאריך הוספה"
"Last Update","עודכן לאחרונה"
"Mark as Read","סמן כנקרא"
"Mark as read","סמן כנקרא"
"Message","הודעה"
"Messages Inbox","הודעות בתיבת הדואר הנכנס"
"Notifications","התראות"
"Please select messages.","נא בחר הודעות."
"Read Details","קרא פרטים"
"Remove","הסר"
"Severity","חומרה"
"Show List","הצג רשימה"
"Show Toolbar","הצג את סרגל הכלים"
"The message has been removed.","ההודעה הוסרה."
"Update Frequency","תדירות עדכון"
"Use HTTPS to Get Feed","השתמש ב- HTTPS כדי לקבל הזנה"
"Wrong message type","סוג ההודעה אינו נכון"
"critical","קריטי"
"major","משמעותי"
"minor","מינורי"
"notice","שים לב"
