"Actions","Toimingud"
"Active","Aktiivne"
"Add New Rule","Lisa uus reegel"
"Alphanumeric","Numbrid ja tähed"
"Apply","Rakenda"
"Buy X get Y free (discount amount is Y)","Osta X saa Y tasuta (allahindluse summa on Y)"
"By Fixed value","Fikseeritud väärtusena"
"By Percentage","Protsendina"
"Catalog","Kataloog"
"Code Format","Koodi ülesehitus"
"Code Length","Koodi pikkus"
"Code Prefix","Koodi eesliides"
"Code Suffix","Koodi järelliides"
"Conditions","Tingimused"
"Conditions combination","Tingimuste kombinatsioon"
"Coupon","Kupong"
"Coupon Code","Sooduskood"
"Customer Groups","Kliendigrupid"
"Default Label","Vaikimisi silt"
"Description","Kirjeldus"
"Discount Amount","Allahindluse määr"
"Edit Rule","Muuda reeglit"
"Excluding prefix, suffix and separators.","Ilma ees- ja järeliite ning eraldussümboliteta."
"Fixed amount discount","Fikseeritud allahindluse summa"
"Fixed amount discount for whole cart","Fikseeritud allahindluse summa tervele ostukorvile"
"Free Shipping","Tasuta transport"
"General Information","Üldinfo"
"Inactive","Mitteaktiivne"
"Manage Coupon Codes","Halda sooduskoode"
"NOT LOGGED IN","SISSE LOGIMATA"
"New Rule","Uus reegel"
"No","Ei"
"Number of Uses","Kasutamiskordi"
"Payment Method","Makseviis"
"Price in cart","Hind ostukorvis"
"Priority","Prioriteet"
"Promotions","Turundus"
"Rule Information","Reegliteave"
"Rule Name","Reegli nimi"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Shipping Country","Tarneriik"
"Shipping Method","Tarneviis"
"Shipping Postcode","Tarneindeks"
"Shipping Region","Tarnepiirkond"
"Shipping State/Province","Tarnemaakond"
"Special Price","Soodushind"
"Status","Staatus"
"Store View Specific Labels","Poevaate spetsiifilised sildid"
"Subtotal","Vahesumma"
"This rule no longer exists.","Seda reeglit pole enam."
"Times Used","Kordi kasutatud"
"To Fixed Value","Fikseeritud väärtusele"
"To Percentage","Protsendina"
"Total","Kokku"
"Total Weight","Kogukaal"
"Update the Product","Uuenda toodet"
"Used","Kasutatud"
"Website","Koduleht"
"Websites","Veebisaidid"
"Yes","Jah"
