"# of Uses","Nb d'utilisations"
"Add","Ajouter"
"Add New Tag","Ajouter un nouveau libellé"
"Add Tags","Ajouter des libellés"
"Add Your Tags:","Ajoutez vos libellés:"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'achats"
"All Tags","Tous les libellés"
"Approved","Approuvé"
"Are you sure you want to delete this tag?","Etes-vous certain de vouloir supprimer ce libellé ?"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Back","Retour"
"Back to Tags List","Retour à la liste de libellés"
"Block Information","Information"
"Change status","Changer un statut"
"Click on a tag to view your corresponding products.","Cliquez sur un libellé pour voir les produits correspondant."
"Country","Pays"
"Customer Since","Client depuis"
"Customers","Clients"
"Customers Tagged '%s'","Les clients ont libellés '%s'"
"Delete","Supprimer"
"Delete Tag","Effacer le libellé"
"Disabled","Désactivé"
"Edit Tag '%s'","Éditer libellé '%s'"
"Email","Courriel"
"First Name","Prénom"
"General Information","Informations générales"
"Grid","Grille"
"ID","Identifiant"
"Last Name","Nom"
"List","Liste"
"My Recent Tags","Mes libellés récents"
"My Tags","Mes libellés"
"Name","Nom"
"New Tag","Nouveau libellé"
"No matches found.","Aucune correspondance trouvée."
"Other people marked this product with these tags:","D'autres personnes ont marqué ce produit avec ces libellés:"
"Pending","En attente"
"Pending Tags","Libellés en attente"
"Popular","Populaire"
"Popular Tags","Libellés populaires"
"Price","Prix"
"Product Name","Nom de produit"
"Product SKU","SKU produit"
"Product Tags","Libellés du produit"
"Products","Produits"
"Products Tagged with '%s'","Produits libellés avec '%s'"
"Products tagged with '%s'","Produits libellés avec '%s'"
"Remove","Supprimer"
"SKU","REF"
"Save Tag","Enregistrer le libellé"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Status","Statut"
"Store View","Vue magasin"
"Tag","Libellé"
"Tag Name","Nom du libellé"
"Tags","Mots clés"
"Tags:","Libellés :"
"Telephone","Téléphone"
"Unable to find any products tagged with '%s' in the current store","Impossible de trouver des produits libellés avec '%s' dans le magasin en cours"
"Unable to remove tag. Please, try again later.","Impossible de supprimer le libellé. Veuillez réessayer plus tard."
"Update","Mettre à jour"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilisez des espaces pour séparer les libelléss. Utilisez les apostrophes (') pour les phrases."
"View All Tags","Voir tous les libellés"
"View Customers","Voir les clients"
"View Products","Voir les produits"
"You have not tagged any products yet.","Vous n'avez pas encore libellé de produits."
"ZIP/Post Code","Code postal"
"[STORE VIEW]","[VUE MAGASIN]"
