"Actions","ಕ್ರಿಯೆಗಳು"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Date Added","ಸೇರಿಸಿದ ದಿನಾಂಕ"
"Last Update","ಕೊನೆಯ ಪರಿಷ್ಕರಣೆ"
"Mark as Read","ಓದಿರುವಂತೆ ಗುರುತಿಸಿ"
"Message","ಸಂದೇಶ"
"Messages Inbox","ಸಂದೇಶಗಳ ಇನ್‍ಬಾಕ್ಸ್"
"Notifications","ಅಧಿಸೂಚನೆಗಳು"
"Please select messages.","ದಯವಿಟ್ಟು ಸಂದೇಶಗಳನ್ನು ಆರಿಸಿ."
"Read Details","ವಿವರಗಳನ್ನು ಓದಿರಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Severity","ತೀವ್ರತೆ"
"Show List","ಪಟ್ಟಿಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Show Toolbar","ಉಪಕರಣಪಟ್ಟಿ ಪ್ರದರ್ಶಿಸಿ"
"The message has been removed.","ಸಂದೇಶವನ್ನು ತೆಗೆದುಹಾಕಲಾಗಿದೆ."
"Update Frequency","ಪರಿಷ್ಕರಣೆಯ ಆವರ್ತನ"
"Wrong message type","ತಪ್ಪಾದ ಸಂದೇಶದ ವಿಧ"
"critical","ಸಂದಿಗ್ಧ"
"major","ಪ್ರಮುಖ"
"minor","ಕಿರಿಯ"
"notice","ನೋಟೀಸು"
