"ACH Withdrawal","ACH ಹಿಂಪಡೆಯುವಿಕೆ"
"API Certificate","API ಪ್ರಮಾಣಪತ್ರ"
"Additional Options","ಹೆಚ್ಚುವರಿ ಆಯ್ಕೆಗಳು"
"Address","ವಿಳಾಸ"
"Advanced Settings","ಸುಧಾರಿತ ಸಂಯೋಜನೆಗಳು"
"All the address information matched","ಹೌದು. ಎಲ್ಲಾ ವಿಳಾಸ ಮಾಹಿತಿ ಹೊಂದಿಕೆಯಾಗಿದೆ"
"Allowed Credit Card Types","ಅನುಮತಿಸಿರುವ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧಗಳು"
"Ask Customer","ಗ್ರಾಹಕರನ್ನು ಕೇಳಿ"
"Authorization","ದೃಢೀಕರಣ"
"Available Balance","ಲಭ್ಯವಿರುವ ಬಾಕಿ"
"Billing Information","ಬಿಲ್ಲಿಂಗ್ ಮಾಹಿತಿ"
"Checkout Cart Page","ಬುಟ್ಟಿ ಚೆಕೌಟ್ ಪುಟ"
"City","ನಗರ"
"Close","ಮುಚ್ಚಿರಿ"
"Company","ಸಂಸ್ಠೆ"
"Complaint","ದೂರು"
"Configure","ಸಂರಚಿಸಿ"
"Continue","ಮುಂದುವರೆಯಿರಿ"
"Country","ದೇಶ"
"Credit","ಜಮಾ"
"Credit Card Settings","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಯೋಜನೆಗಳು"
"Custom","ಒಗ್ಗಿಸಿದ"
"Daily","ದೈನಿಕ"
"Debit","ಖರ್ಚು"
"Debit Card Transaction","ಡೆಬಿಟ್ ಕಾರ್ಡ್ ವಹಿವಾಟು"
"Debit or Credit","ಖರ್ಚು ಅಥವಾ ಜಮಾ"
"Discount","ರಿಯಾಯಿತಿ"
"Display","ಪ್ರದರ್ಶಿಸಿ"
"Display on Product Details Page","ಉತ್ಪನ್ನದ ವಿವರಗಳ ಪುಟದಲ್ಲಿ ಪ್ರದರ್ಶಿಸಿ"
"Display on Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಪ್ರದರ್ಶಿಸಿ"
"Dispute","ವಿವಾದ"
"Dynamic","ಕ್ರಿಯಾಶೀಲ"
"Edit","ಸಂಪಾದಿಸಿ"
"Edit Payment Information","ಪಾವತಿ ಮಾಹಿತಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸಂಪಾದಿಸಿ"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Enable SSL verification","SSL ಪರಿಶೀಲನೆಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Every 10 days","ಪ್ರತಿ 10 ದಿನಗಳು"
"Every 14 days","ಪ್ರತಿ 14 ದಿನಗಳು"
"Every 3 days","ಪ್ರತಿ 3 ದಿನಗಳು"
"Every 30 days","ಪ್ರತಿ 30 ದಿನಗಳು"
"Every 40 days","ಪ್ರತಿ 40 ದಿನಗಳು"
"Every 7 days","ಪ್ರತಿ 7 ದಿನಗಳು"
"Exact Match. Address and Postal Code. International","ಸರಿಯಾದ ಹೊಂದಿಕೆ. ವಿಳಾಸ ಮತ್ತು ಪಿನ್ ಕೋಡ್. ಅಂತರ್ರಾಷ್ಟ್ರೀಯ"
"Fax","ಫ್ಯಾಕ್ಸ್"
"Fee Amount","ಶುಲ್ಕದ ಮೊತ್ತ"
"Fetch","ಹುಡುಕಿ ತೆಗೆ"
"General Currency Conversion","ಸಾಮಾನ್ಯ ಕರೆನ್ಸಿ ಪರಿವರ್ತನೆ"
"Gross Amount","ಒಟ್ಟು ಮೊತ್ತ"
"Header Background Color","ತಲೆಬರಹದ ಹಿನ್ನೆಲೆ ಬಣ್ಣ"
"Header Border Color","ತಲೆಬರಹದ ಅಂಚಿನ ಬಣ್ಣ"
"Header Image URL","ತಲೆಬರಹದ ಚಿತ್ರದ URL"
"Help","ಸಹಾಯ"
"Home Page","ಮುಖಪುಟ"
"Items in Your Shopping Cart","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತುಗಳು"
"Last Transaction ID","ಕೊನೆಯ ವಹಿವಾಟಿನ ID"
"Learn More","ಹೆಚ್ಚು ತಿಳಿಯಿರಿ"
"Login","ಲಾಗಿನ್"
"Matched (CVV2)","ಹೊಂದಿಕೆಯಾಗಿದೆ (CVV2)"
"Matched (CVV2CSC)","ಹೊಂದಿಕೆಯಾಗಿದೆ (CVV2CSC)"
"Merchant Country","ವರ್ತಕರ ದೇಶ"
"Merchant Location","ವರ್ತಕರ ಜಾಗ"
"N/A. Retry","N/A. ಮರುಪ್ರಯತ್ನಿಸಿ"
"N/A. Service not Supported","N/A. ಸೇವೆ ಬೆಂಬಲಿತವಿಲ್ಲ"
"N/A. Service not available","N/A. ಸೇವೆ ಲಭ್ಯವಿಲ್ಲ"
"N/A. Service not supported","N/A. ಸೇವೆ ಬೆಂಬಲಿತವಿಲ್ಲ"
"N/A. Unavailable","N/A. ಲಭ್ಯವಿಲ್ಲ"
"Never","ಎಂದಿಗೂ ಇಲ್ಲ"
"No","ಇಲ್ಲ"
"No Details matched","ಯಾವುದೇ ವಿವರಗಳು ಹೊಂದಿಕೆಯಾಗಿಲ್ಲ"
"No Details matched. International","ಯಾವುದೇ ವಿವರಗಳು ಹೊಂದಿಕೆಯಾಗಿಲ್ಲ, ಅಂತರ್ರಾಷ್ಟ್ರೀಯ"
"No Logo","ಲೋಗೊ ಇಲ್ಲ"
"No match","ಹೋಲಿಕೆಯಿಲ್ಲ"
"None of the address information matched","ಯಾವುದೇ ವಿಳಾಸ ಮಾಹಿತಿ ಹೊಂದಿಕೆಯಾಗಿಲ್ಲ"
"Now accepting PayPal (150 X 40)","ಈಗ PayPal ಅನ್ನು ಸ್ವೀಕರಿಸಲಾಗುತ್ತದೆ (150 X 40)"
"Now accepting PayPal (150 X 60)","ಈಗ PayPal ಅನ್ನು ಸ್ವೀಕರಿಸಲಾಗುತ್ತದೆ (150 X 60)"
"Order","ವ್ಯಾಪಾರಾದೇಶ"
"Order ID","ವ್ಯಾಪಾರಾದೇಶ ID"
"Page Background Color","ಪುಟದ ಹಿನ್ನೆಲೆ ಬಣ್ಣ"
"Page Style","ಪುಟದ ಶೈಲಿ"
"Partner","ಪಾಲುದಾರರು"
"Password","ಗುಪ್ತಪದ"
"PayPal Billing Agreement Settings","PayPal ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದದ ಸಂಯೋಜನೆಗಳು"
"PayPal Fee Information","PayPal ಶುಲ್ಕದ ಮಾಹಿತಿ"
"Payment Action","ಪಾವತಿ ಕ್ರಿಯೆ"
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"Payments Advanced","ಸುಧಾರಿತ ಪಾವತಿಗಳು"
"Payments by PayPal (150 X 40)","PayPal ನಿಂದ ಪಾವತಿಗಳು (150 X 40)"
"Payments by PayPal (150 X 60)","PayPal ನಿಂದ ಪಾವತಿಗಳು (150 X 60)"
"Place Order","ಖರೀದಿಸಿ"
"Please select a shipping method...","ದಯವಿಟ್ಟು ರವಾನೆ ವಿಧಾನವನ್ನು ಆರಿಸಿ..."
"Position","ಸ್ಥಾನ"
"Price","ದರ"
"Product","ಉತ್ಪನ್ನ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Qty","ಪರಿಮಾಣ"
"Reauthorization","ಮರುದೃಢೀಕರಣ"
"Report Date","ವರದಿ ದಿನಾಂಕ"
"Reports","ವರದಿಗಳು"
"Require CVV Entry","CVV ನಮೂದಿನ ಅಗತ್ಯವಿದೆ"
"Require Customer's Billing Address","ಗ್ರಾಹಕರ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ಅಗತ್ಯವಿದೆ"
"Sale","ವ್ಯಾಪಾರ"
"Sales","ವ್ಯಾಪಾರಗಳು"
"Schedule","ನಿಗದಿ"
"Shipping","ರವಾನೆ"
"Shipping Address","ರವಾನೆ ವಿಳಾಸ"
