"Actions","ક્રિયાઓ"
"Are you sure?","શું તમે ખાતરી કરો છો?"
"Date Added","તારીખ ઉમેરી"
"Last Update","છેલ્લો સુધારો"
"Mark as Read","વાંચો તરીકે ચિહ્નિત કરો"
"Message","સંદેશ"
"Messages Inbox","સંદેશાઓ ઇનબોક્સ"
"Notifications","સૂચનાઓ"
"Please select messages.","સંદેશાઓ પસંદ કરો."
"Read Details","વિગતો વાંચો"
"Remove","દૂર કરો"
"Severity","તીવ્રતા"
"Show List","સૂચિ બતાવો"
"Show Toolbar","ટૂલબાર બતાવો"
"The message has been removed.","સંદેશ દૂર કરવામાં આવ્યો છે."
"Update Frequency","આવર્તન અદ્યતન બનાવવું"
"Use HTTPS to Get Feed","ફીડ મેળવવા માટે HTTPS નો ઉપયોગ કરો"
"Wrong message type","ખોટો સંદેશો પ્રકાર"
"critical","નિર્ણાયક"
"major","મુખ્ય"
"minor","નાનો"
"notice","સૂચના"
