"Address","સરનામું"
"Advanced Settings","અદ્યતન સેટિંગ્સ"
"Authorization","અધિકૃતતા"
"City","શહેર"
"Close","બંધ"
"Company","કંપની"
"Configure","રૂપરેખાંકિત કરો"
"Continue","ચાલુ રાખો"
"Country","દેશ"
"Custom","શિરસ્તો"
"Discount","છૂટ"
"Edit","સંપાદિત કરો"
"Email Address","ઈ - મેઈલ સરનામું"
"Enabled","સક્ષમ"
"Fax","ફેક્સ"
"Fetch","મેળવો"
"Learn More","વધુ શીખો"
"Login","પ્રવેશ કરો"
"N/A","એન / એ"
"Never","ક્યારેય"
"No","ના"
"Order","ઓર્ડર"
"Order ID","ઓર્ડર આઈડી"
"Password","પાસવર્ડ"
"Payment Method","ચુકવણી ની રીત"
"Payment transactions disallow storing objects.","પેમેન્ટ ટ્રાંઝેક્શન્સ ઓબ્જેક્ટ્સને સંગ્રહિત કરવાની પરવાનગી આપે"
"Place Order","ઓર્ડર કરો"
"Position","સ્થિતિ"
"Price","કિંમત"
"Product","ઉત્પાદન"
"Product Name","ઉત્પાદન નામ"
"Qty","ક્યુટી"
"Sales","વેચાણ"
"Shipping","
                    શિપિંગ
                "
"Shipping Address","પહોંચાડવાનું સરનામું"
"Shipping Information","શિપિંગ માહિતી"
"Shipping Method","શીપીંગ પદ્ધતિ"
"Sort Order","
                    ક્રમબધ ઓર્ડર
                "
"State/Province","રાજ્ય / પ્રાંત"
"Static","સ્થિર"
"Street Address","શેરીનુ સરનામું"
"Subtotal","પેટાસરવાળો"
"Title","શીર્ષક"
"Transaction ID","ટ્રાન્ઝેક્શન આઈડી"
"VAT Number","વેટ નંબર"
"View","જુઓ"
"Void","રદ"
"Yes","હા"
"Zip/Postal Code","ઝીપ / પોસ્ટલ કોડ"
