"Alert Email Sender","Afzender Waarschuwing E-mail"
"Alert subscription has been saved.","Notificatie is opgeslagen"
"Allow Alert When Product Comes Back in Stock","Melding toestaan als product weer op voorraad is"
"Allow Alert When Product Price Changes","Melding toestaan bij prijswijziging"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Foutmelding Email"
"Error Email Template","Foutmelding Email Template"
"Frequency","Frequentie"
"Price Alert Email Template","Sjabloon e-mail met prijsmelding"
"Price:","Prijs:"
"Product Alerts","Product-notificaties"
"Product Alerts Run Settings","Product notificaties uitvoer-instellingen"
"Product alerts Cron error","Product notificaties Cron error"
"Start Time","Begin Tijd"
"Stock Alert Email Template","Sjabloon e-mail met voorraadmelding"
"You will no longer receive price alerts for this product.","Voor dit product ontvangt u niet langer meldingen van prijswijzigingen"
"The product was not found.","Dit product is niet gevonden"
"Unable to update the alert subscription.","Het opslaan van de notificatie is niet mogelijk"
"Unsubscribe from all price alerts","Opzeggen van alle prijsmeldingen"
"Unsubscribe from all stock alerts","Opzeggen van alle voorraadmeldingen"
"You will no longer receive stock alerts for this product.","Voor dit product ontvangt u niet langer meldingen van gewijzigde voorraadstatussen"
"You will no longer receive stock alerts.","U ontvangt niet langer meldingen van gewijzigde voorraadstatussen"
