"Add","Hinzufügen"
"Add gift message for shopping cart","Neue Geschenknachricht für den Warenkorb"
"Add gift messages for quote item of shopping cart","Neue Geschenknachricht für Artikel im Warenkorb"
"Add gift messages to products of shopping cart","Neue Geschenknachricht für Artikel im Warenkorb"
"Add gift options","Neue Geschenknachricht"
"Add gift options for Individual Items","Neue Geschenknachricht für einzelne Artikel"
"Add gift options for the Entire Order","Neue Geschenknachricht für die gesamte Bestellung"
"Add gift options.","Neue Geschenknachricht."
"Allow Gift Messages for Order Items","Geschenknachricht für bestellte Artikel erlauben"
"Allow Gift Messages on Order Level","Geschenknachrichten auf Bestellebene erlauben"
"An error occurred while saving the gift message.","Fehler beim Speichern der Geschenknachricht aufgetreten."
"Are you sure?","Sind Sie sicher?"
"Cancel","Stornieren"
"Do you have any gift items in your order?","Haben Sie Geschenkartikel in der Bestellung?"
"Edit","Bearbeiten"
"From","Von"
"Gift Message","Geschenknachricht"
"Gift Message API","Geschenknachricht API"
"Gift Options","Geschenkoptionen"
"Gift Options for","Geschenknachricht für"
"Gift Options for Individual Items","Geschenkoptionen für einzelne Artikel"
"Gift Options for the Entire Order.","Geschenknachricht für die gesamte Bestellung."
"Gift Options for this address.","Geschenknachricht für diese Adresse."
"Item %d of %d","Artikel %d von %d"
"Message","Nachricht"
"No","Nein"
"Save Gift Message","Geschenknachricht speichern"
"The gift message has been removed","Die Geschenknachricht wurde entfernt"
"The gift message has been saved","Die Geschenknachricht wurde gespeichert"
"The gift message has been saved.","Die Geschenknachricht wurde gespeichert."
"To","Bis"
"Unknown entity type","Unbekannter Entity Type"
"Use config","Konfiguration verwenden"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","Sie können dieses Feld leer lassen, wenn Sie für diesen Artikel keine Geschenknachricht eingeben möchten."
"You can leave this box blank if you do not wish to add a gift message for this address.","Sie können dieses Feld leer lassen, wenn Sie für diese Adresse keine Geschenknachricht eingeben möchten."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Sie können dieses Feld leer lassen, wenn Sie für diese Bestellung keine Geschenknachricht eingeben möchten."
