"-- Please select --","-- Lütfen Seçiniz --"
"API Key","API anahtarı"
"Allowed Currencies","İzin Verilen Para Birimleri"
"An invalid base currency has been entered.","Ana para birimi olarak yanlış para birimi girildi."
"Base Currency","Ana Para Birimi"
"Connection Timeout in Seconds","Bağlantı Zaman Aşımı ( sn)"
"Continue &raquo;","Devam &raquo;"
"Country","Ülke"
"Country and Format Type combination should be unique","Ülke ve format bilgileri eşsiz olmalıdır"
"Currency","Para Birimi"
"Currency Options","Para Birimi Seçenekleri"
"Currency Setup","Para Birimi Ayarları"
"Currency Update Warnings","Kur Güncelleme Uyarıları"
"Currency rates can't be retrieved.","Döviz kur bilgisi çekilemedi."
"Default Display Currency","Varsayılan Para birimini Göster"
"Directory","Dizin"
"Enabled","Aktif edildi"
"Error Email Recipient","Hata Bildirimi E-posta Alıcısı"
"Error Email Sender","Hata Bildirimi E-posta Göndericisi"
"Error Email Template","Hata Bildirimi E-posta Şablonu"
"FATAL ERROR:","KURTARILAMAZ HATA:"
"Frequency","Sıklık"
"Installed Currencies","Yüklenmiş Para Birimleri"
"Invalid country code: %s","Hatalı Ülke Kodu : %s"
"Invalid rates received","Alınan kur bilgileri hatalı"
"List of countries","Ülke listesi"
"List of regions in specified country","Seçili ülkenin bölgeleri/şehirleri"
"No API Key was specified or an invalid API Key was specified.","Bir API anahtar kelimesi girilmedi ya da girilen değer yanlış."
"Region","Bölge"
"Scheduled Import Settings","Zamanlanmış İçeri Aktarma Ayarları"
"Select Your Currency","Para Birimi Seçiniz"
"Service","Servis"
"Start Time","Başlangıç Zamanı"
"State/Province","Eyalet/Şehir"
"Strikeiron Email Update Warnings","Strikeiron Email Güncelleme Hataları"
"The account this API request is coming from is inactive.","Bu API isteğinin geldiği hesap aktif değil."
"WARNING:","UYARI:"
"Your current currency is: %s","Kullanımda Olan Para Birimi : %s"
