"Add","Ekle"
"Add New Role","Yeni Yetki Sınıfı Ekle"
"Address Type","Adres Tipi"
"Admin","Yönetim"
"Allow","İzin Ver"
"Assigned","Atandı"
"Attribute Set","Özellik Seti"
"Attributes","Öznitelikler"
"Automatically Return Credit Memo Item to Stock","İade Kaydı oluşturulan Ürünü Stoğa Otomatik Geri Yükle"
"Back","Geri"
"Backorders","Ön Siparişler"
"Base Currency","Ana Para Birimi"
"Catalog","Katalog"
"Category ID","Kategori No"
"City","Şehir"
"Company","Şirket"
"Country","Ülke"
"Coupon Code","Kupon Kodu"
"Create","Oluştur"
"Create Permanent Redirect for old URL","Eski URL için yönlendirme kaydı ekle"
"Customer","Müşteri"
"Customer Address","Müşteri Adresi"
"Customer First Name","Müşteri Adı"
"Customer ID","Müşteri No"
"Customer Last Name","Müşteri Soyadı"
"Delete","Sil"
"Deny","Reddet"
"Discount","İndirim"
"Discount Amount","İndirim Tutarı"
"Edit","Düzenle"
"Edit Role","Yetki Sınıfı Düzenle"
"Email","E-posta"
"Enable Qty Increments","Miktar Arttırımını Aktif et"
"Exclude","Hariç Tut"
"File Name","Dosya Adı"
"First Name","Adı"
"Gift Message","Hediye Mesajı"
"Grand Total","Genel Toplam"
"Group","Grup"
"Guest","Misafir"
"ID","No"
"Label","Etiket"
"Last Name","Soyadı"
"Manage Stock","Stok Yönetimi"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek miktar"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük miktar"
"New Role","Yeni Yetki Sınıfı"
"Notify for Quantity Below","Miktar Aşağısını Bildir"
"Order","Sipariş"
"Order Comments","Sipariş Açıklamaları"
"Order Date","Sipariş Tarihi"
"Order ID","Sipariş No"
"Order Status","Sipariş Durumu"
"Orders","Siparişler"
"Original Price","Orjinal Fiyat"
"Payment Method","Tahsilat Yöntemi"
"Phone Number","Telefon Numarası"
"Placed from IP","Ip Adresinden Bağlanıldı."
"Position","Konum"
"Price","Fiyat"
"Product","Ürün"
"Product ID","Ürün ID"
"Product Type","Ürün Tipi"
"Qty","Miktar"
"Qty Increments","Miktar Arttırımı"
"Qty Uses Decimals","Miktarda Ondalık Kullan"
"Role Info","Yetki Sınıfı Bilgisi"
"Role Information","Yetki Sınıfı Bilgisi"
"Role Name","Yetki Sınıfı Adı"
"Role Users","Yetki Sınıfı Kullanıcıları"
"Roles","Yetki Sınıfları"
"SKU","Ürün Kodu"
"Sales","Satışlar"
"Save","Kaydet"
"Shipping Amount","Teslimat Tutarı"
"Shipping Method","Teslimat Yöntemi"
"State","Eyalet"
"Stock Availability","Stok Durumu"
"Stock Status","Stok Durumu"
"Store Name","Mağaza Adı"
"Street","Sokak"
"Subtotal","Ara Toplam"
"System","Sistem"
"Tax Amount","Vergi Tutarı"
"Tax Percent","Vergi Yüzdesi"
"Tax Rate","Vergi Oran"
"Total Due","Toplam Vadesi Gelenler"
"Total Paid","Toplam Ödenen"
"Total Refunded","Toplam İade Edilenler"
"Type","Tip"
"Update","Güncelle"
"Web Services","Web Hizmetleri"
"Web services","Web hizmetleri"
"ZIP/Postal Code","Zip/Posta Kodu"
