"-- Please select --","-- Selecione uma opção --"
"API Key","Chave de API"
"Allowed Currencies","Moedas Permitidas"
"An invalid base currency has been entered.","Uma moeda base inválida foi indicada."
"Base Currency","Moeda base"
"Connection Timeout in Seconds","Tempo Limite da Ligação em Segundos"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country and Format Type combination should be unique","A combinação de país e tipo de formato, deveria ser unica"
"Currency","Moeda"
"Currency Options","Opções de Moeda"
"Currency Setup","Configuração de Moeda"
"Currency Update Warnings","Avisos de Atualização de Moeda"
"Currency rates can't be retrieved.","Taxas de câmbio não podem ser recuperadas."
"Default Display Currency","Moeda de Exibição Pré-definida"
"Directory","Diretório"
"Enabled","Habilitado"
"Error Email Recipient","Erro no recipiente do E-mail"
"Error Email Sender","Erro no Serviço de E-mail"
"Error Email Template","Erro no template de E-mail"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Invalid country code: %s","Código de país inválido: %s"
"Invalid rates received","Taxas inválidas recebidas"
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões em um país específico"
"No API Key was specified or an invalid API Key was specified.","Não foi especificada uma API Key ou foi especificada uma API Key inválida."
"Region","Região"
"Scheduled Import Settings","Definições de Importação Agendada"
"Select Your Currency","Selecione sua moeda"
"Service","Serviço"
"Start Time","Hora de Início"
"State/Province","Estado"
"Strikeiron Email Update Warnings","Alerta de atualização de e-mail strikeiron"
"The account this API request is coming from is inactive.","A conta da qual está vindo esta requisição de API está inativa."
"WARNING:","ALERTA:"
"Your current currency is: %s","Sua moeda atual é: %s"
