"All Websites","Tất cả trang Web"
"Display Prices In Emails","Hiển thị giá trong email"
"Display Prices In Product Lists","Hiển thị giá trong danh sách sản phẩm"
"Display Prices In Sales Modules","Hiển thị giá trong mô-đun bán hàng"
"Display Prices On Product View Page","Hiển thị giá trên trang xem sản phẩm"
"Enable FPT","Cho phép FPT"
"Excluding FPT","Không bao gồm FPT"
"Fixed Product Tax","Thuế cố định cho sản phẩm"
"Fixed Product Taxes","Thuế cố định cho sản phẩm"
"Include FPT In Subtotal","Bao gồm FPT trong tổng phụ"
"Including FPT and FPT description","Bao gồm cả FPT và mô tả FPT"
"Including FPT only","Chỉ bao gồm FPT"
"Total","Tổng"
"Total Incl. Tax","Tổng số bao gồm cả thuế"
"Total:","Tổng:"
